src_ip,dst_ip,sport,dsport,proto,duration,bytes,packets,src_bytes,dst_bytes,src_pkts,dst_pkts,label,type
192.168.41.157,10.0.226.84,1971,443,6,7.202483006046652,43,44,7409,2185,16,27,1,backdoor
192.168.15.45,10.0.35.179,1046,3389,6,1.381209724857525,38977,60,1310,3602,21,22,0,normal
192.168.65.89,10.0.114.253,2152,443,6,6.13737037440516,42200,47,337,34,27,27,0,normal
192.168.71.9,10.0.246.146,15010,80,17,4.319332596866132,1896,54,756,2274,19,20,1,xss
192.168.88.129,10.0.110.254,33346,8080,6,21.433530082578123,205,35,922,14759,29,29,0,normal
192.168.236.136,10.0.88.72,49953,80,17,46.100792524037274,5194,50,154,31755,24,27,0,normal
192.168.216.63,10.0.125.30,17184,3389,6,10.182909721799698,16847,40,1566,3853,28,29,0,normal
192.168.139.243,10.0.172.53,50733,22,6,7.135235317261839,6481,9,40096,931,21,26,1,password
192.168.81.136,10.0.138.87,10832,443,17,2.4425198626544713,2700,56,780,7742,21,28,0,normal
192.168.163.163,10.0.180.177,30636,443,6,6.997439615883858,50069,46,2980,205,18,28,0,normal
192.168.33.123,10.0.139.194,53906,445,6,15.695189199916728,721,47,294,5391,25,22,0,normal
192.168.5.234,10.0.186.218,22749,8080,17,0.11827582852435078,2126,53,6447,1023,27,26,0,normal
192.168.231.250,10.0.164.161,8022,443,17,3.860028866680448,10417,57,294,11895,20,20,0,normal
192.168.41.28,10.0.175.13,40974,8080,6,1.229491850689711,5628,48,479,433,18,28,0,normal
192.168.135.201,10.0.40.89,24442,445,6,4.080828038490363,9135,40,3086,34903,25,17,0,normal
192.168.72.12,10.0.68.42,19064,3389,17,3.1409851872412236,8665,56,151,12724,16,18,0,normal
192.168.162.33,10.0.147.210,21581,445,17,4.287380872090559,8516,59,2604,2342,22,27,0,normal
192.168.48.247,10.0.229.94,22849,8080,17,4.003241277000842,1437,49,8975,1988,27,32,0,normal
192.168.151.62,10.0.19.186,10022,443,6,16.107776954574582,738,47,1519,33993,20,15,0,normal
192.168.216.37,10.0.23.251,37104,22,1,4.016887773039923,3921,38,6231,83759,35,26,0,normal
192.168.99.172,10.0.54.208,47121,8080,6,9.361554395401225,61229,51,82,569,20,19,0,normal
192.168.104.214,10.0.65.140,63231,80,6,1.9269911580623886,2836,63,2687,618,17,29,0,normal
192.168.219.35,10.0.24.34,58821,22,6,2.8821630334485135,9885,39,440,15435,16,26,0,normal
192.168.193.227,10.0.53.249,16826,8080,6,3.178293601935161,3732,43,2369,10,21,25,0,normal
192.168.101.175,10.0.136.18,12191,80,6,1.6336950955362686,174111,43,25939,6,25,30,0,normal
192.168.206.131,10.0.57.112,36116,445,6,2.3884878510534078,2262,51,2,258,23,24,0,normal
192.168.1.5,10.0.5.154,43431,22,6,4.562901613154954,40047,55,316,2199,25,23,1,ransomware
192.168.218.247,10.0.158.182,55771,8080,6,4.339738615754008,707,58,11,130,25,25,0,normal
192.168.142.103,10.0.13.83,14362,3389,6,5.05899064350775,317,47,93,98,29,18,0,normal
192.168.27.137,10.0.29.3,11777,445,6,2.1679181368974034,2940,48,423,460,40,31,1,backdoor
192.168.207.15,10.0.90.104,7008,80,6,1.8977551979193632,31640,54,6123,18492,29,15,0,normal
192.168.90.42,10.0.123.186,19919,3389,6,4.728827928657168,10584,39,5517,552,24,23,0,normal
192.168.124.205,10.0.250.76,48934,443,6,0.7127842759972001,45,44,5207,11118,19,26,0,normal
192.168.179.63,10.0.130.203,44855,445,6,1.4586616084577921,303488,4742,3362,1496,26,23,1,ddos
192.168.96.231,10.0.108.156,1386,445,1,0.2152042350657274,139,59,75,26962,31,24,0,normal
192.168.241.52,10.0.82.77,4478,8080,17,0.3769100463357663,15994,47,5453,754,16,28,0,normal
192.168.253.96,10.0.229.214,52974,8080,17,1.3944923359340755,8855,50,282,2820,26,28,0,normal
192.168.132.222,10.0.204.2,22028,80,6,0.09861248204801185,64,1,2686,1911,18,24,1,scanning
192.168.229.151,10.0.127.229,61821,445,6,1.4079075412100797,12765,47,174,932,19,22,0,normal
192.168.231.237,10.0.135.26,37047,8080,6,5.320711177499522,1757,57,764,6106,24,21,0,normal
192.168.143.171,10.0.218.88,18625,443,17,0.3152692042725722,4018,45,957,4897,37,19,0,normal
192.168.29.36,10.0.204.16,51661,8080,6,2.870040237826852,167,63,2188,1965,26,29,0,normal
192.168.13.160,10.0.151.168,60471,445,6,12.215491835615254,1785,41,204,26,19,21,0,normal
192.168.71.187,10.0.254.188,6373,22,6,7.833923871614972,18915,43,4118,118,20,19,0,normal
192.168.243.86,10.0.73.32,60904,3389,6,1.8223656567015225,208,54,79,194,18,31,0,normal
192.168.28.66,10.0.15.229,40987,445,1,12.93838456135964,15325,50,32894,1986,29,19,0,normal
192.168.170.45,10.0.141.5,11071,443,17,1.9997504447174288,52,51,243,1144,23,19,0,normal
192.168.62.185,10.0.203.74,8774,445,17,0.3763959614084893,276,50,21,277,30,30,0,normal
192.168.245.134,10.0.52.77,30417,443,6,25.6268284919777,1588,47,949,239,24,25,0,normal
192.168.28.28,10.0.169.181,23487,445,17,10.20197064806436,4052,54,481,4946,18,28,0,normal
192.168.108.44,10.0.110.178,10423,80,6,3.136167869877067,593,40,174,291,24,24,1,injection
192.168.84.30,10.0.143.106,59816,3389,17,5.4887111992379465,897,58,16178,8,33,31,0,normal
192.168.190.75,10.0.248.127,14710,443,6,5.561955071938394,27291,42,4963,1699,19,25,0,normal
192.168.128.250,10.0.7.40,41827,445,6,1.0813500834174197,32124,61,2763,418,32,27,0,normal
192.168.247.92,10.0.156.160,64552,3389,6,1.1160217230206237,1275,57,162,5637,24,27,0,normal
192.168.217.231,10.0.99.143,35299,80,6,3.170437297298613,1355,42,379,273,21,23,0,normal
192.168.190.225,10.0.240.228,51179,445,17,12.127897554468918,1678,49,323,771,26,28,1,backdoor
192.168.129.121,10.0.85.198,23811,3389,1,0.05022023925812645,104896,1639,28,2149,21,33,1,ddos
192.168.27.190,10.0.65.132,15800,22,6,7.627911705999889,3083,42,1887,15,25,24,0,normal
192.168.121.116,10.0.11.108,51101,22,6,0.2962388889907187,69011,51,2184,366,29,25,0,normal
192.168.205.233,10.0.26.189,30551,80,6,252.9931241208106,12887,54,1400,259,25,26,1,mitm
192.168.3.103,10.0.165.151,58451,3389,17,5.078799194959624,2416,61,1728,466,29,28,0,normal
192.168.198.200,10.0.221.85,64557,22,6,5.8039163465333035,816,54,113,429,24,23,0,normal
192.168.155.137,10.0.240.237,40375,445,6,0.30129453145208346,14162,54,183,1200,30,23,0,normal
192.168.62.165,10.0.237.241,62110,8080,6,2.711612563636839,618,41,582,1743,25,21,0,normal
192.168.225.51,10.0.219.231,37719,3389,6,4.383394472521788,1376,44,17480,4214,24,24,0,normal
192.168.234.172,10.0.168.205,59910,80,17,0.01,11133,1145,11216,3319,29,23,1,dos
192.168.152.207,10.0.151.123,51161,3389,6,0.7256754600424186,1842,52,3083,12950,28,22,0,normal
192.168.59.118,10.0.144.222,64332,443,6,5.447999951080282,1353,48,61682,8337,27,38,0,normal
192.168.160.96,10.0.189.68,16821,443,17,3.6869396095252522,1610,38,3039,19344,25,27,0,normal
192.168.216.233,10.0.104.80,38023,80,6,0.8826636895288491,894,46,3912,13929,26,26,1,xss
192.168.180.113,10.0.159.53,6326,443,6,3.8311635447114916,7324,47,21153,426,25,24,0,normal
192.168.62.241,10.0.106.153,64196,80,6,12.191587298181501,3205,54,4408,650,21,32,0,normal
192.168.186.52,10.0.44.140,39083,22,6,0.07855174286688373,197,59,29649,756,21,30,0,normal
192.168.12.254,10.0.90.101,1932,80,6,5.144970892220168,1124,53,1160,12640,37,22,0,normal
192.168.39.130,10.0.240.97,61276,445,1,0.3825180757255996,1430,51,304,763,28,30,0,normal
192.168.131.113,10.0.220.9,16147,80,17,0.032351652394837935,1410,44,906,5826,19,28,0,normal
192.168.101.113,10.0.12.69,13901,443,17,0.8164460637466486,9879,58,1764,28,28,23,0,normal
192.168.184.81,10.0.182.244,15263,22,17,2.748756045102942,731,12,179,18,30,29,1,password
192.168.187.113,10.0.182.28,22459,443,6,8.106135639292383,665138,50,263,16789,11,26,0,normal
192.168.2.130,10.0.56.99,28337,80,6,1.654935016520239,640,58,470,3475,22,27,1,injection
192.168.220.54,10.0.197.226,36378,443,6,4.913130497052201,47168,44,121,13880,26,35,0,normal
192.168.87.229,10.0.110.226,43127,443,17,2.647975347510606,377,56,338,60,29,32,0,normal
192.168.224.225,10.0.77.103,49432,443,6,1.3350317592913286,51,46,4768,1829,30,31,0,normal
192.168.129.147,10.0.106.109,18739,3389,6,3.610276249983517,1513,58,5367,66,24,13,0,normal
192.168.126.130,10.0.112.58,24259,445,6,7.984200258120326,5361,56,66,7819,28,10,0,normal
192.168.53.172,10.0.78.75,61716,445,6,8.933631884254279,2156,48,2034,1387,30,32,0,normal
192.168.218.160,10.0.42.166,27153,445,6,9.370909817754697,1033,51,954,1030,27,22,0,normal
192.168.198.160,10.0.68.181,11558,80,17,2.0666634769952257,91,47,8974,7555,25,27,0,normal
192.168.247.68,10.0.33.71,35598,8080,6,7.886210637722738,777,49,640,1093,25,30,0,normal
192.168.183.203,10.0.56.105,44084,80,17,1.192418403228874,1833,48,91,1023,31,30,0,normal
192.168.184.123,10.0.200.101,18213,445,6,6.705173083830848,1106,49,414,72,21,32,0,normal
192.168.145.38,10.0.51.74,63919,22,17,14.819659178049381,1094,57,100,19555,27,25,0,normal
192.168.24.69,10.0.171.121,21555,443,17,0.06919577788835195,603,48,12,1650,18,31,0,normal
192.168.116.98,10.0.143.166,11991,443,17,2.9023429180979936,81610,40,985,3787,22,26,0,normal
192.168.198.214,10.0.143.5,17479,8080,6,5.217368569183022,12294,45,3097,86,26,25,0,normal
192.168.139.240,10.0.221.83,1051,22,6,6.049548136977392,20171,48,1594,21236,25,36,0,normal
192.168.144.97,10.0.182.51,9684,3389,6,0.9684562874918625,5143,53,83,1812,16,27,0,normal
192.168.201.124,10.0.10.140,54159,80,6,17.910589145289034,206,52,73,40386,20,33,0,normal
192.168.187.70,10.0.246.4,26363,3389,6,4.776007249027251,13054,50,1695,9556,25,24,0,normal
192.168.208.93,10.0.95.146,65397,22,17,0.8976708332587666,44198,53,32744,9,29,24,0,normal
192.168.3.148,10.0.80.232,40847,8080,6,0.10368012361410434,59166,48,14615,6056,17,21,0,normal
192.168.252.187,10.0.36.25,56866,22,6,7.645380865739174,10376,52,609,7960,22,24,0,normal
192.168.164.147,10.0.215.204,10640,8080,6,0.41530362521212605,2986,40,1674,4472,27,30,0,normal
192.168.90.195,10.0.98.164,11464,3389,17,0.7602281911569485,2969,54,6811,1901,25,23,0,normal
192.168.147.148,10.0.101.195,37624,3389,1,4.276331266004949,103296,1614,822,844,29,23,1,ddos
192.168.96.199,10.0.9.61,49762,22,6,4.625465590391332,111,59,74,1163,31,24,0,normal
192.168.52.233,10.0.53.146,14131,22,6,5.805957549917227,10691,47,3,20357,29,28,0,normal
192.168.161.168,10.0.171.163,62428,443,17,2.500368275047033,1128,44,1577,23483,15,25,0,normal
192.168.128.39,10.0.254.63,29670,8080,6,7.4338600639652075,247442,48,736,858,20,35,0,normal
192.168.82.104,10.0.121.247,47569,443,6,18.31773515628051,1634,54,36,255,23,34,0,normal
192.168.129.11,10.0.226.105,27275,80,17,1.581058964380363,34052,65,63,15452,21,31,1,ransomware
192.168.220.185,10.0.206.4,16978,80,1,6.070597484006017,3981,53,648,7743,30,15,0,normal
192.168.217.178,10.0.93.169,17967,22,6,13.188097486619508,746,56,367,1844,22,26,0,normal
192.168.151.159,10.0.173.178,41749,3389,6,5.796379835445337,7439,53,19233,175,24,27,0,normal
192.168.222.42,10.0.207.28,46458,80,6,5.714537455306072,5908,54,18727,41,34,29,1,backdoor
192.168.99.7,10.0.170.80,21239,22,6,1.2665486033151119,23054,9,200,5457,27,20,1,password
192.168.252.144,10.0.76.116,11134,443,6,3.829989566449019,12592,54,22226,395,24,22,0,normal
192.168.90.112,10.0.69.98,41136,443,6,4.133653942504949,4334,56,27833,375,23,27,0,normal
192.168.249.244,10.0.234.1,22579,80,6,6.022023862319578,579,53,1970,2815,24,21,0,normal
192.168.60.113,10.0.167.96,17486,22,6,86.75018454408033,614,51,170,406,36,27,1,mitm
192.168.2.129,10.0.218.17,14720,443,6,0.1711139950250297,81962,53,1391,441,31,25,0,normal
192.168.48.254,10.0.112.251,55105,22,6,0.3372880811917986,3548,15,15,282,33,20,1,password
192.168.140.197,10.0.91.88,53823,3389,6,0.40577951130806156,189684,53,338,4529,16,34,0,normal
192.168.37.160,10.0.163.174,2055,443,6,6.792990043118116,580,46,1868,167,22,26,0,normal
192.168.251.247,10.0.170.246,24789,80,6,0.7329603956094355,239814,61,2370,57,29,27,0,normal
192.168.9.233,10.0.167.90,52248,8080,6,4.87028616812383,93927,41,450,163,23,21,1,ransomware
192.168.99.147,10.0.49.190,62913,443,17,0.01,1240,733,1261,19542,19,21,1,dos
192.168.48.208,10.0.38.151,57087,8080,6,3.0561768533711096,7217,66,142,343,19,22,0,normal
192.168.131.148,10.0.150.132,48882,443,1,1.2145835390593023,21918,49,18312,2933,22,18,0,normal
192.168.152.54,10.0.177.59,56264,443,6,10.053555145065989,11569,42,19846,591,23,22,0,normal
192.168.120.161,10.0.201.68,16840,445,6,4.411262364686587,64,49,4541,739,25,26,0,normal
192.168.152.116,10.0.199.215,18892,445,6,14.462563963784817,948,47,642,17127,20,14,0,normal
192.168.75.113,10.0.130.49,11461,8080,6,4.273582801635485,16514,43,211,1412,25,24,1,ransomware
192.168.200.164,10.0.216.232,16477,22,17,0.6614210282678044,188,57,5952,30770,29,23,0,normal
192.168.166.104,10.0.247.126,23246,80,17,0.9368942197318288,2885,47,1586,52994,21,27,0,normal
192.168.84.254,10.0.223.239,15282,22,1,22.583039230414087,94144,1471,147,26065,37,26,1,ddos
192.168.227.112,10.0.159.111,64948,22,6,6.465207796441489,22022,59,9107,387,21,25,0,normal
192.168.254.217,10.0.168.48,35342,445,6,0.2526718597317852,13221,45,448,1559,30,23,0,normal
192.168.99.153,10.0.51.43,14001,80,6,6.083281251773615,76025,54,194,21285,26,32,0,normal
192.168.93.146,10.0.98.183,64454,445,6,2.6566133584635763,353,41,7283,5391,26,21,0,normal
192.168.128.110,10.0.216.177,55673,80,6,1.8351301374942919,1829,43,226,11249,38,28,1,injection
192.168.82.194,10.0.124.218,38474,445,17,0.8365389107977945,24448,51,1410,13359,25,21,0,normal
192.168.54.163,10.0.80.185,48231,3389,17,9.159906799126144,28440,49,14274,14868,25,26,1,backdoor
192.168.208.189,10.0.111.205,19237,22,6,0.329851749852251,44236,6,11679,154,26,13,1,password
192.168.169.228,10.0.143.27,37543,22,6,1.7112929633389973,29981,47,2171,989,25,14,0,normal
192.168.161.68,10.0.196.208,56257,22,6,1.8291759546943989,4620,58,105,304,17,22,0,normal
192.168.33.142,10.0.192.222,46706,3389,6,0.8771584365282871,1187,51,405,876,31,28,0,normal
192.168.21.48,10.0.236.158,11247,443,6,3.5482620607540944,12964,54,137625,1691,22,23,0,normal
192.168.148.248,10.0.164.195,49190,8080,17,0.05885820755976121,1231,54,7298,1360,24,25,0,normal
192.168.128.136,10.0.214.113,40393,8080,6,1.7903475466831398,3679,36,690,340,20,26,0,normal
192.168.135.195,10.0.86.114,21867,3389,6,13.562508775393374,1389,53,88,87,25,17,1,backdoor
192.168.145.128,10.0.249.242,4880,22,6,1.85915733931727,5081,50,24,52,17,25,0,normal
192.168.33.176,10.0.247.124,60550,8080,6,2.2350257635949617,35743,54,12460,42776,21,18,0,normal
192.168.204.187,10.0.49.76,13685,3389,17,3.2043398199908166,1481,31,12966,13155,25,26,0,normal
192.168.115.214,10.0.55.213,16615,445,6,4.1241827805742926,1093,44,1016,2182,26,17,0,normal
192.168.119.22,10.0.56.196,7206,80,1,8.26978796709886,2410,49,482,3,21,28,0,normal
192.168.238.158,10.0.95.44,56259,8080,6,1.055588408842981,282,51,10598,213,32,33,0,normal
192.168.38.230,10.0.159.186,8994,80,17,10.26872773659488,1929,49,56,2991,24,45,1,xss
192.168.109.51,10.0.87.246,48946,22,6,7.0847856196727825,3763,41,59665,5974,35,32,0,normal
192.168.182.8,10.0.181.84,35886,8080,6,6.412381195607228,2777,48,4796,590,23,34,0,normal
192.168.27.27,10.0.207.151,31779,80,17,0.4540268639347655,948,60,89,3337,26,29,1,xss
192.168.226.21,10.0.156.16,45887,443,17,0.1093914187772766,156,73,5281,909,25,23,0,normal
192.168.30.97,10.0.165.149,56414,80,17,4.507167014472829,1271,65,279,10640,18,28,1,xss
192.168.28.111,10.0.207.145,20440,8080,6,9.943763300882624,1054,54,75,1018,29,24,0,normal
192.168.192.225,10.0.242.37,14696,8080,1,4.390658970407059,64,1,5245,952,23,26,1,scanning
192.168.197.252,10.0.77.147,18956,8080,1,40.20119240631416,16815,41,120,404,23,34,1,mitm
192.168.61.48,10.0.158.45,63633,3389,6,0.474410795811824,10122,46,75,4972,21,17,0,normal
192.168.147.4,10.0.146.206,48020,3389,17,6.013142754826262,162385,40,2891,2521,25,30,0,normal
192.168.35.192,10.0.62.164,9583,80,6,6.396540829697458,1502,43,891,108,22,22,1,injection
192.168.49.17,10.0.100.212,1088,3389,6,0.9469224072608479,457,59,8291,2383,19,27,0,normal
192.168.172.220,10.0.52.19,4323,80,6,0.14297645764269692,1119,40,601,1593,23,28,1,injection
192.168.158.221,10.0.109.44,5873,80,1,2.6236383314127854,1106,48,502,7533,17,15,1,injection
192.168.46.117,10.0.7.249,6663,22,6,4.369973546931794,1735,46,18,916,28,22,0,normal
192.168.6.99,10.0.172.117,52211,80,6,6.12091853741907,742,55,2994,156,20,29,0,normal
192.168.124.233,10.0.68.251,12079,443,6,8.302209115930482,2614,49,1058,444,28,30,0,normal
192.168.37.24,10.0.34.194,60244,22,6,4.714937544673161,378,46,11808,42984,25,22,0,normal
192.168.93.241,10.0.69.55,23082,443,6,0.5876187697304354,65637,52,5013,716,28,18,0,normal
192.168.46.181,10.0.10.224,30451,443,6,5.737673644171162,736,43,2130,8661,27,14,0,normal
192.168.95.99,10.0.42.41,52404,8080,17,20.731340663817207,951,46,254,70,22,21,0,normal
192.168.188.225,10.0.205.231,55796,445,1,11.800254602030789,25,47,477,2420,30,26,0,normal
192.168.116.191,10.0.197.122,18004,445,17,10.265708541712604,110,54,3289,51,24,20,0,normal
192.168.253.213,10.0.138.10,65298,445,17,1.7988998932842484,919,54,989,1261,22,22,0,normal
192.168.160.215,10.0.102.219,53782,443,6,6.94726023591566,1618,40,18701,249,29,30,0,normal
192.168.161.67,10.0.188.128,11890,8080,6,9.522517411874597,12566,44,15202,172,29,24,0,normal
192.168.128.18,10.0.179.149,4913,80,6,5.671086523943677,149,55,664,136,21,21,0,normal
192.168.25.234,10.0.136.193,53682,80,6,0.01,7363,606,1321,715,26,24,1,dos
192.168.223.54,10.0.92.113,60202,445,17,15.3775553667252,10387,54,223,24,26,25,0,normal
192.168.58.67,10.0.231.78,49250,80,6,2.9966397534253337,11543,44,893,61,19,23,0,normal
192.168.104.174,10.0.85.30,32359,8080,17,0.01,23654,1952,7330,1322,17,26,1,dos
192.168.24.114,10.0.213.49,51571,445,6,0.5814214563730465,291,43,369,33,22,23,0,normal
192.168.32.175,10.0.9.145,27186,8080,17,5.213792614293559,8799,68,526,52,16,22,0,normal
192.168.86.151,10.0.69.58,24937,80,6,0.01,101754,1454,105,39078,37,30,1,dos
192.168.194.127,10.0.185.62,25711,445,6,0.49625097086946,49047,58,355,25399,18,22,0,normal
192.168.155.234,10.0.223.52,34244,8080,17,6.742384162850946,131125,59,3741,207,27,23,0,normal
192.168.130.218,10.0.189.40,12019,3389,6,8.030347142224734,4827,50,677,2117,28,28,0,normal
192.168.17.104,10.0.166.171,57512,3389,17,6.462483546437547,912,52,109,211,37,14,0,normal
192.168.161.137,10.0.63.147,3655,8080,6,1.129868246857402,18,57,1676,229,27,24,0,normal
192.168.43.246,10.0.228.50,35978,8080,6,5.852294541053711,248,55,989,2,31,22,0,normal
192.168.176.39,10.0.161.141,6991,22,17,0.05390353221449792,1042,54,10314,23329,22,20,0,normal
192.168.221.170,10.0.78.248,23782,22,6,1.8200239924562664,283264,4426,835,3324,22,31,1,ddos
192.168.247.26,10.0.97.190,22766,443,17,2.5443171789789663,611,57,149,4840,30,19,0,normal
192.168.99.50,10.0.221.43,65495,445,6,9.016537930539453,5878,52,7529,3180,29,24,0,normal
192.168.153.152,10.0.177.36,38140,443,6,2.4747152206155456,64,1,157,736,27,26,1,scanning
192.168.13.60,10.0.122.108,27604,443,6,0.056667137709353256,3235,55,81,415,28,23,0,normal
192.168.250.135,10.0.10.95,35251,80,6,2.1719965586316077,14336,56,137,1023,28,24,0,normal
192.168.57.36,10.0.6.57,2966,3389,6,3.454988445457085,1165,63,323,20565,37,24,0,normal
192.168.173.20,10.0.129.71,48688,80,6,14.880117534957416,26688,57,25,1148,26,31,0,normal
192.168.65.8,10.0.186.219,29093,445,6,14.153997121642202,268,50,34,53220,23,25,0,normal
